SN,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
0,27.5,21.5,60.7,199.7,329.9,393.4,363.1,298.7,232.4,162.5,46.0,10.6
1,13.2,17.6,9.3,6.3,11.3,55.7,203.3,243.2,129.7,24.8,4.3,6.1
2,2.1,1.2,1.1,1.9,9.1,97.4,309.8,213.8,126.6,13.5,6.1,1.7
3,13.4,23.4,73.4,167.7,289.0,406.1,320.4,320.6,305.2,183.7,43.2,15.3
4,7.3,6.0,5.0,4.0,15.7,58.1,181.5,157.5,73.0,13.1,4.0,3.8
5,10.4,8.1,10.0,4.1,9.8,144.9,217.2,196.6,122.7,47.7,18.7,12.1
6,17.9,17.3,9.6,5.5,8.8,88.8,280.9,296.1,185.0,36.6,9.3,7.0
7,0,0,0,0,0,0,0,0,0,0,0,0
8,22.6,22.5,18.4,13.0,19.4,211.2,428.3,389.8,227.2,56.8,9.7,6.5
9,28.3,29.2,34.8,19.3,19.6,51.7,224.7,174.5,94.6,21.3,5.7,14.6
10,11.3,2.7,5.6,3.9,26.2,132.2,157.9,152.7,146.0,62.1,26.8,12.0
11,17.0,36.3,39.4,54.8,108.6,233.4,297.9,318.3,275.8,184.0,41.6,6.5
12,4.9,7.9,10.0,43.9,111.9,79.7,109.7,138.8,185.9,161.7,59.2,17.4
13,22.9,25.3,14.5,8.9,19.3,106.4,307.0,290.9,186.1,44.9,3.9,9.7
14,2.2,0.7,0.7,1.4,6.1,118.9,274.6,242.4,124.2,26.4,13.3,3.7
15,18.2,11.4,10.3,21.5,63.0,187.4,264.5,240.7,211.6,83.2,5.4,3.3
16,13.2,8.7,8.4,4.3,11.7,120.2,354.1,363.3,185.1,31.0,12.1,11.0
17,13.1,25.5,25.2,30.8,68.2,204.9,326.2,366.8,256.3,190.7,41.7,4.9
18,2.0,1.5,2.1,1.1,7.5,38.0,125.7,103.5,63.1,19.7,8.5,1.0
19,5.7,7.8,6.3,11.9,15.9,33.0,91.1,82.6,40.8,10.1,1.9,3.0
20,46.6,33.9,29.3,11.3,24.2,112.6,276.3,282.8,179.0,41.6,6.7,18.9
21,35.3,13.0,14.5,15.9,42.4,53.9,99.6,129.9,123.5,284.6,353.0,146.3
22,6.6,8.9,12.0,49.4,68.8,84.4,34.3,28.4,57.3,136.7,119.3,40.8
23,8.3,13.1,40.7,127.9,377.6,766.8,813.4,620.5,519.0,179.8,9.7,4.0
24,55.0,58.8,49.0,22.5,41.7,201.8,672.6,728.2,296.5,49.8,8.6,24.4
25,119.7,108.2,241.7,58.3,64.2,222.7,876.9,864.6,375.8,55.8,20.8,54.9
26,32.0,78.5,109.7,218.7,316.0,419.5,520.9,443.8,333.1,143.4,24.7,18.0
27,2.2,1.6,6.2,37.2,77.6,81.6,71.6,86.7,126.6,121.1,36.6,8.6
28,31.9,79.4,122.2,270.9,527.7,611.3,628.6,563.2,463.4,177.9,41.7,21.1
29,20.1,19.0,11.7,7.5,21.3,137.3,313.9,327.6,205.7,52.6,10.0,3.6
30,0.2,0.1,1.2,11.8,112.7,868.2,994.8,518.7,251.9,124.8,30.9,16.7
31,11.0,23.6,18.1,20.3,53.8,138.1,174.6,195.9,192.0,237.8,95.3,11.4
32,14.2,15.2,9.4,11.7,36.1,166.7,342.7,339.1,232.3,60.4,4.9,6.2
33,5.0,5.6,7.9,18.6,35.5,107.3,136.8,140.1,190.1,80.7,26.8,5.1
34,11.8,17.2,55.1,147.0,248.9,316.8,351.2,269.4,187.0,90.9,18.5,7.3
35,14.4,10.0,6.5,4.5,11.2,67.5,248.8,274.4,151.2,40.7,5.8,7.0
36,14.8,15.2,14.0,8.9,17.3,39.7,133.1,130.6,74.5,29.2,3.2,10.2
37,13.2,7.9,15.3,20.2,35.7,103.8,169.9,178.7,158.3,97.2,22.4,5.9
38,12.2,37.5,84.5,120.1,154.2,262.1,407.3,198.7,131.5,112.1,48.1,14.0
39,7.7,2.5,2.4,2.4,10.6,131.9,283.7,276.9,183.1,40.1,13.3,6.3
40,22.2,23.4,15.5,7.7,12.9,167.3,421.9,422.9,200.1,39.9,15.0,9.9
41,9.1,15.6,16.0,51.1,73.2,239.6,369.4,377.5,236.9,101.1,24.3,7.7
42,7.5,10.2,4.5,8.3,16.7,54.7,214.0,213.6,69.4,23.3,4.2,3.0
43,1.5,3.0,2.7,21.0,8.9,15.1,60.1,75.8,17.6,2.4,1.5,2.4
44,60.7,62.8,59.9,35.7,25.6,72.7,349.6,319.1,139.8,23.8,10.3,33.0
45,14.0,25.7,26.1,37.5,57.2,205.3,292.5,306.5,208.8,82.2,10.1,6.1
46,16.1,19.7,18.0,18.0,36.1,211.8,377.3,405.5,278.4,61.7,10.4,7.9
47,10.2,4.8,3.9,5.1,66.1,35.1,120.8,128.9,57.6,8.1,2.6,1.6
48,15.4,16.4,7.9,5.3,8.4,66.3,244.6,273.2,161.7,40.0,4.6,7.1
49,13.4,13.5,23.3,64.5,51.2,87.8,47.0,41.4,38.9,127.5,165.3,61.1
50,26.9,17.5,18.6,6.7,9.8,50.7,194.8,221.5,93.3,21.7,4.7,9.7
51,7.0,0.5,18.9,83.6,580.2,646.6,564.8,436.8,532.4,411.8,404.7,0.6
52,59.1,34.6,52.6,136.0,146.1,97.7,122.1,153.1,185.6,253.9,235.0,141.4
53,11.7,35.4,47.6,88.7,159.2,333.8,371.8,364.0,250.1,126.0,35.2,7.8
54,13.3,25.6,33.3,51.2,126.2,282.4,339.8,333.2,277.2,138.9,23.9,6.4
55,5.4,4.4,4.0,3.2,10.3,62.9,257.0,245.8,98.5,19.6,7.8,3.5
56,7.4,3.3,23.4,73.8,189.7,736.4,789.3,395.5,237.4,400.9,158.5,119.9
57,19.1,17.6,8.7,5.8,18.8,103.2,277.4,284.0,201.4,49.0,8.0,16.4
58,30.6,34.1,28.7,14.9,14.7,52.0,200.2,174.3,108.4,19.8,5.4,15.6
59,16.1,8.6,12.3,47.8,68.8,42.9,59.1,84.9,124.5,172.5,146.6,58.5
60,11.9,16.1,15.1,29.6,109.6,218.9,307.5,289.4,275.9,105.6,12.1,4.4
61,1.1,0.2,2.9,24.4,183.2,1027.2,1200.4,787.3,292.1,190.8,70.9,16.4
62,37.2,23.9,20.9,57.2,184.3,298.6,245.2,212.0,162.4,176.7,143.4,83.4
63,54.5,56.5,49.7,35.3,58.3,157.2,307.4,299.4,202.3,60.9,8.8,23.1
64,15.1,1.0,0.1,0.5,20.6,504.2,819.4,546.8,325.2,81.1,113.2,4.1
65,4.8,5.1,11.6,62.4,145.7,67.3,74.3,78.6,117.6,158.7,63.8,14.3
66,12.5,20.7,17.6,14.3,19.2,190.1,341.7,280.5,183.1,56.8,16.6,13.2
67,1.3,0.6,5.1,8.0,18.5,100.8,201.7,136.7,145.0,56.9,24.1,6.6
68,18.9,16.6,10.8,30.4,29.0,54.3,216.8,247.6,133.8,15.4,6.6,15.2
69,20.9,21.0,14.5,10.7,14.1,66.3,198.4,206.5,130.3,20.8,3.9,8.8
70,6.1,4.2,11.2,7.9,19.1,148.4,237.6,214.7,183.2,72.2,20.5,8.6
